# z_hip_m,rho_min_m,rho_max_m
-0.13974037,0.10880014,0.14992752
-0.13729765,0.09924210,0.16016004
-0.13485492,0.09237145,0.17087609
-0.13241220,0.08138939,0.17846984
-0.12996947,0.07825142,0.18231451
-0.12752675,0.07044217,0.18432885
-0.12508402,0.06655353,0.19122231
-0.12264130,0.06229398,0.19693219
-0.12019857,0.06297412,0.20054764
-0.11775585,0.06220412,0.19951181
-0.11531312,0.06584061,0.21008847
-0.11287040,0.06273694,0.21135709
-0.11042767,0.06148400,0.21485720
-0.10798495,0.06195944,0.21667475
-0.10554222,0.06324749,0.21969895
-0.10309950,0.06237488,0.22142846
-0.10065677,0.06552169,0.22233395
-0.09821405,0.06470115,0.22582160
-0.09577132,0.06463308,0.22996209
-0.09332860,0.06489813,0.23312384
-0.09088587,0.06149835,0.23284881
-0.08844315,0.06274842,0.23467791
-0.08600042,0.06293517,0.23795139
-0.08355770,0.06898056,0.23906980
-0.08111497,0.08108617,0.24011393
-0.07867225,0.08634956,0.24126243
-0.07622952,0.09158726,0.24362779
-0.07378680,0.09696784,0.24595377
-0.07134407,0.10159353,0.24515922
-0.06890135,0.10373287,0.24817270
-0.06645862,0.10680521,0.24862349
-0.06401590,0.11181349,0.24895566
-0.06157317,0.11463313,0.24964271
-0.05913045,0.11735915,0.25116104
-0.05668772,0.11783659,0.25245595
-0.05424500,0.12074519,0.25276956
-0.05180227,0.12326789,0.25300903
-0.04935955,0.12404080,0.25365927
-0.04691682,0.12843403,0.25397791
-0.04447410,0.12711302,0.25471142
-0.04203137,0.12859898,0.25456281
-0.03958865,0.13266315,0.25450306
-0.03714592,0.13074831,0.25622944
-0.03470320,0.13527869,0.25565311
-0.03226047,0.13352936,0.25568548
-0.02981775,0.13373432,0.25469463
-0.02737502,0.13669234,0.25532498
-0.02493230,0.13635904,0.25639793
-0.02248957,0.13849243,0.25674923
-0.02004685,0.13749353,0.25696196
-0.01760412,0.13947674,0.25522698
-0.01516140,0.13992739,0.25562324
-0.01271867,0.13862735,0.25832504
-0.01027595,0.13934300,0.25828110
-0.00783322,0.14052648,0.25941805
